Date,ZScore
2020-11-27,1.283648292287774
2020-11-30,0.5012161656112221
2020-12-01,0.8395995208909622
2020-12-02,1.0666633702345387
2020-12-03,0.9947969815910432
2020-12-04,0.9639921522752664
2020-12-07,0.6747968291762639
2020-12-08,0.61498770882557
2020-12-09,1.1488624420250015
2020-12-10,0.8462879353761577
2020-12-11,0.850877155563775
2020-12-14,0.26423857515392823
2020-12-15,0.2994391950383297
2020-12-16,-0.023987351440103194
2020-12-17,-0.1548829268594486
2020-12-18,-0.31260025270970493
2020-12-21,-0.7455194330995053
2020-12-22,-1.5300429452128217
2020-12-23,-0.9250826551293224
2020-12-24,-1.0336648591183293
2020-12-28,-0.8046945291694434
2020-12-29,-0.5530852711454797
2020-12-30,-0.5383117777764649
2020-12-31,-0.1632618146407559
2021-01-04,-0.24327709736628195
2021-01-05,-0.2307935034714491
2021-01-06,1.284051103493188
2021-01-07,0.67501890713702
2021-01-08,0.6509180715726917
2021-01-11,0.6354313435582502
2021-01-12,0.7196923743832881
2021-01-13,0.5763038642934734
2021-01-14,0.6753420079110748
2021-01-15,0.7399907814231981
2021-01-19,0.5431523417602473
2021-01-20,0.43438084834006707
2021-01-21,-0.33733692122763764
2021-01-22,-0.4498288653287859
2021-01-25,-0.5921148233977005
2021-01-26,-0.5274667251637902
2021-01-27,-1.4369043336209095
2021-01-28,-1.0132097867654086
2021-01-29,-1.1646832122069046
2021-02-01,-1.4200124726478969
2021-02-02,-1.2245584357768304
2021-02-03,-0.8774468609343822
2021-02-04,-1.062217660530138
2021-02-05,-0.6703563521134457
2021-02-08,-0.7823774932223035
2021-02-09,-0.8634350785067939
2021-02-10,-0.7397192632115792
2021-02-11,-1.3770219992683577
2021-02-12,-1.2837154663905785
2021-02-16,-1.0249569937769876
2021-02-17,-0.11095880045593295
2021-02-18,-0.16475381308392298
2021-02-19,-0.4470839500732448
2021-02-22,0.8209015125564106
2021-02-23,1.477573202103893
2021-02-24,1.5251032079308988
2021-02-25,2.0629156582511454
2021-02-26,0.850416713848808
2021-03-01,0.7085050932399707
2021-03-02,1.3806997002197468
2021-03-03,2.194818674691176
2021-03-04,2.7953161709951977
2021-03-05,3.0534286580537913
2021-03-08,3.81815742398012
2021-03-09,2.4530190021294453
2021-03-10,2.8954487103179347
2021-03-11,2.158361438702671
2021-03-12,2.4630713587050805
2021-03-15,2.113920856253101
2021-03-16,1.6938459988916363
2021-03-17,1.788489027765174
2021-03-18,2.263385265487146
2021-03-19,2.0697951164730073
2021-03-22,1.6715777248210333
2021-03-23,1.5096825660255686
2021-03-24,1.8029553144145043
2021-03-25,1.9938320979302997
2021-03-26,1.7912028265321567
2021-03-29,1.9633547125307889
2021-03-30,1.9796073931966975
2021-03-31,1.4915158393077192
2021-04-01,1.1910699823289872
2021-04-05,1.183034010584855
2021-04-06,1.1802697789550862
2021-04-07,1.073954259147819
2021-04-08,0.7256774158460658
2021-04-09,0.7391111470912117
2021-04-12,0.8490512058561417
2021-04-13,0.5854060838598798
2021-04-14,0.795217495753091
2021-04-15,0.664607022008481
2021-04-16,0.8503241178628744
2021-04-19,0.9302533450405014
2021-04-20,0.9273965041807339
2021-04-21,0.9470497024484013
2021-04-22,0.8436116857541222
2021-04-23,0.7784777030409786
2021-04-26,0.5674457997904182
2021-04-27,0.6547120576728677
2021-04-28,0.9037344594641707
2021-04-29,1.290474310366649
2021-04-30,1.4795471051705795
2021-05-03,1.6864673567868744
2021-05-04,2.0807419536783023
2021-05-05,2.1101745267283967
2021-05-06,2.177797551323701
2021-05-07,2.0844385222742363
2021-05-10,2.4811248906736294
2021-05-11,2.0407823792264006
2021-05-12,2.063440417934427
2021-05-13,2.123461235777724
2021-05-14,1.9445739928426589
2021-05-17,2.0544803454989125
2021-05-18,1.8226885299841804
2021-05-19,1.5126820176792526
2021-05-20,1.2482861128773057
2021-05-21,1.3572624164743743
2021-05-24,1.165670238255937
2021-05-25,1.025699332477243
2021-05-26,1.0177249028068076
2021-05-27,1.1859915912556511
2021-05-28,1.1385312240859364
2021-06-01,1.2414093102517094
2021-06-02,1.0605744551746255
2021-06-03,1.2590065484893527
2021-06-04,0.9358482349946501
2021-06-07,0.805820058951526
2021-06-08,0.7111317083720484
2021-06-09,0.6235994955200119
2021-06-10,0.48481498665275835
2021-06-11,0.2942948725568082
2021-06-14,-0.05366620376299152
2021-06-15,0.12058377928568445
2021-06-16,-0.02407953412453783
2021-06-17,-0.6171113921280733
2021-06-18,-1.0241801573931564
2021-06-21,-0.6223494982500969
2021-06-22,-0.7727295582275893
2021-06-23,-0.7666847301361795
2021-06-24,-0.7299551797286574
2021-06-25,-0.5199157286642694
2021-06-28,-0.8700329923681153
2021-06-29,-1.1525062045037293
2021-06-30,-0.9603840865129838
2021-07-01,-0.6692707615590802
2021-07-02,-0.7914617275401228
2021-07-06,-1.1718693546121108
2021-07-07,-1.1169595068475144
2021-07-08,-1.163914308578704
2021-07-09,-0.9879177404955446
2021-07-12,-0.7896243070482715
2021-07-13,-1.1088260479766134
2021-07-14,-1.22859778256624
2021-07-15,-1.0097391033244907
2021-07-16,-1.036134475544905
2021-07-19,-1.360421255306385
2021-07-20,-1.2470612660166778
2021-07-21,-1.2450451315166693
2021-07-22,-1.4172746929169984
2021-07-23,-1.2710150551008375
2021-07-26,-1.1010589228432017
2021-07-27,-0.8492363391932356
2021-07-28,-0.903709006877894
2021-07-29,-0.8405177392704937
2021-07-30,-1.0389649773937228
2021-08-02,-1.0107818131143225
2021-08-03,-0.7712805879623246
2021-08-04,-1.139310949729798
2021-08-05,-1.0301282693791516
2021-08-06,-0.8241039161391596
2021-08-09,-0.7248362584922247
2021-08-10,-0.24586342487172674
2021-08-11,-0.008718004504299784
2021-08-12,-0.10427975895194014
2021-08-13,-0.1466622589353896
2021-08-16,-0.03726357239160135
2021-08-17,-0.015865845278290224
2021-08-18,-0.05187349213820093
2021-08-19,-0.3747307018768176
2021-08-20,-0.5002897985927849
2021-08-23,-0.6596751145155023
2021-08-24,-0.5817451089626265
2021-08-25,-0.37130938140317027
2021-08-26,-0.4736265145557143
2021-08-27,-0.465225730010679
2021-08-30,-0.818154272469077
2021-08-31,-0.3522270223709669
2021-09-01,-0.33211153552222306
2021-09-02,0.06661813341447256
2021-09-03,-0.5820849588638755
2021-09-07,-1.0267339834890774
2021-09-08,-0.3814697386916597
2021-09-09,-0.785962675148701
2021-09-10,-0.7551359419565762
2021-09-13,-0.15734363610497393
2021-09-14,-1.2544547183278651
2021-09-15,-0.8044875431266323
2021-09-16,-1.5547954050991781
2021-09-17,-1.2951698547483157
2021-09-20,-1.7003057265655384
2021-09-21,-1.8699871263627994
2021-09-22,-2.135624131391162
2021-09-23,-1.6427983538756548
2021-09-24,-1.183820867923136
2021-09-27,-0.13267861895738275
2021-09-28,0.9204212006052809
2021-09-29,1.653160527424045
2021-09-30,-0.18318233064906192
2021-10-01,0.05610003865340132
2021-10-04,1.38530306909964
2021-10-05,1.2145432889273995
2021-10-06,0.9424262948354342
2021-10-07,0.8972775454990194
2021-10-08,1.3395373107128927
2021-10-11,0.652842460464696
2021-10-12,0.4839204096526576
2021-10-13,-0.1699762933399436
2021-10-14,-0.11826141478854788
2021-10-15,0.33809647490467026
2021-10-18,-0.6367182131172934
2021-10-19,-0.4796727873838165
2021-10-20,0.7111772573681341
2021-10-21,0.5349327034640892
2021-10-22,0.9841092925767211
2021-10-25,1.2856808977740584
2021-10-26,1.2622775443384786
2021-10-27,0.912753241600041
2021-10-28,1.2265817252571543
2021-10-29,0.8414654663446713
2021-11-01,1.0507000673117268
2021-11-02,0.7357357657267813
2021-11-03,1.0502078492058515
2021-11-04,-0.3113346948698157
2021-11-05,-0.08990177475434066
2021-11-08,-1.0760917225666518
2021-11-09,-1.3585145964134644
2021-11-10,0.2220860228703932
2021-11-11,-0.6456498852948003
2021-11-12,-1.0745122435693084
2021-11-15,-0.7460698737011704
2021-11-16,-1.6566983870526326
2021-11-17,-1.395648342457278
2021-11-18,-1.8274726342602854
2021-11-19,-2.9005753817789586
2021-11-22,-1.0838450188589397
2021-11-23,-0.08746005935881006
2021-11-24,-0.8483162942657287
2021-11-26,-1.7980327086827237
2021-11-29,-2.538850186212785
2021-11-30,-3.935071301861837
2021-12-01,-3.158412984903932
2021-12-02,-2.0344687830044847
2021-12-03,-1.2169924173688462
2021-12-06,-0.46723881572416537
2021-12-07,-1.3941787476530934
2021-12-08,-1.673640563003678
2021-12-09,-1.1883398778793453
2021-12-10,-1.5292099556232828
2021-12-13,-1.164526306295006
2021-12-14,-0.4346855785728345
2021-12-15,-1.0241612266129987
2021-12-16,0.6807998828212276
2021-12-17,-0.2429994458243545
2021-12-20,-0.5055140112837829
2021-12-21,-0.8698556671503712
2021-12-22,-0.745677801220211
2021-12-23,-0.4867136435099543
2021-12-27,-0.722277216684086
2021-12-28,-0.117604349721909
2021-12-29,0.026777834543622644
2021-12-30,0.20776893039742106
2021-12-31,0.4028786677426753
2022-01-03,0.3485869615955842
2022-01-04,1.6006185308379655
2022-01-05,2.342695284256081
2022-01-06,2.464525416812282
2022-01-07,2.7130961900458526
2022-01-10,2.269408734263523
2022-01-11,2.1162088646985335
2022-01-12,2.017469009288663
2022-01-13,2.6436737707826485
2022-01-14,1.997399384790028
2022-01-18,2.0938990413289025
2022-01-19,2.042338981519721
2022-01-20,1.8507650927997563
2022-01-21,1.5893469579252333
2022-01-24,1.4271721550880558
2022-01-25,1.9551357626774346
2022-01-26,1.5229427977708838
2022-01-27,1.5762597025874068
2022-01-28,0.9455563283072813
2022-01-31,0.5526128630420284
2022-02-01,0.8002182301838109
2022-02-02,1.166752228007404
2022-02-03,1.209628860940014
2022-02-04,1.1079626411687904
2022-02-07,1.0963006212452064
2022-02-08,0.925561462258245
2022-02-09,0.6128389145653856
2022-02-10,0.6905228589708888
2022-02-11,0.9856123603595829
2022-02-14,0.7470867160893376
2022-02-15,0.30810334370919945
2022-02-16,0.4574914548649464
2022-02-17,0.7688608292602733
2022-02-18,0.9399846204591584
2022-02-22,0.6941749152478952
2022-02-23,0.7747441350192588
2022-02-24,-0.08531652573507974
2022-02-25,0.6454697074056184
2022-02-28,0.4570536669837669
2022-03-01,0.39249768992400746
2022-03-02,0.5283037067248195
2022-03-03,1.09099044165065
2022-03-04,1.6177102965372705
2022-03-07,1.5765549929304294
2022-03-08,1.2445750183889774
2022-03-09,0.7214188054911076
2022-03-10,1.4754052978409353
2022-03-11,1.7535244779306107
2022-03-14,2.4801726493566596
2022-03-15,2.0219327755508356
2022-03-16,1.4564084224800669
2022-03-17,1.7418516435261366
2022-03-18,1.119338710685211
2022-03-21,1.2599659469771043
2022-03-22,1.2184882699672854
2022-03-23,1.1483534216451559
2022-03-24,0.5490999047985247
2022-03-25,1.2531610592357052
2022-03-28,0.9580984164444122
2022-03-29,0.43532013067331227
2022-03-30,1.1078539573092971
2022-03-31,0.5149286467633067
2022-04-01,1.084401472914676
2022-04-04,0.24941577254658404
2022-04-05,0.9537228806539674
2022-04-06,2.263483484403669
2022-04-07,2.3975420950413584
2022-04-08,3.080336716811176
2022-04-11,2.9248980331233905
2022-04-12,2.5517316522753903
2022-04-13,2.2372885092457704
2022-04-14,2.6411962399515803
2022-04-18,2.4175728086956583
2022-04-19,2.2985965456050796
2022-04-20,2.3159970472636346
2022-04-21,2.2143907729858543
2022-04-22,1.6854898870314932
2022-04-25,1.2083033825598386
2022-04-26,1.211989918550959
2022-04-27,0.829466391588629
2022-04-28,0.39800897591270434
2022-04-29,0.03261543377290613
2022-05-02,-0.4104401184484578
2022-05-03,-0.14044840432203207
2022-05-04,0.059535248634206235
2022-05-05,0.36401751082259104
2022-05-06,0.5559941094254
2022-05-09,0.6435320971372104
2022-05-10,-0.03879292257988026
2022-05-11,0.7496820171542614
2022-05-12,1.034371842865689
2022-05-13,0.6482004741654483
2022-05-16,1.006008978459971
2022-05-17,0.8805704123662033
2022-05-18,0.5284013229388727
2022-05-19,0.4399603596212711
2022-05-20,0.3506165882931604
2022-05-23,0.5095417191841352
2022-05-24,1.1742120522668407
2022-05-25,0.9519209264452733
2022-05-26,0.9180948470488085
2022-05-27,0.7072356619248873
2022-05-31,0.7422811386619775
2022-06-01,0.23244499645253744
2022-06-02,-0.028103524103407843
2022-06-03,0.28669748579129317
2022-06-06,0.5214546747811537
2022-06-07,0.396672873064422
2022-06-08,0.1450308114174528
2022-06-09,-0.01699703669431985
2022-06-10,0.09446730820572374
2022-06-13,-0.08511194548882767
2022-06-14,-0.821045319400539
2022-06-15,-1.1194894900859038
2022-06-16,-0.9775118922904374
2022-06-17,-1.7304519589862246
2022-06-21,-1.172709811439336
2022-06-22,-1.0705241700723327
2022-06-23,-1.4144578432419606
2022-06-24,-1.1762914436184664
2022-06-27,-0.9701154525233194
2022-06-28,-0.5949421374263928
2022-06-29,-0.750041176326962
2022-06-30,-0.49287642846708024
2022-07-01,0.3781241941242853
2022-07-05,-0.7075728212862157
2022-07-06,-0.890076848374298
2022-07-07,-1.1249435428880166
2022-07-08,-1.2353425213565548
2022-07-11,-1.074987694921539
2022-07-12,-0.8504122271258145
2022-07-13,-1.1997222769029943
2022-07-14,-2.012323560216806
2022-07-15,-1.434635194066859
2022-07-18,-1.5420883492056412
2022-07-19,-1.1202578534622583
2022-07-20,-2.1048121784194214
2022-07-21,-2.1276404345696864
2022-07-22,-1.6509623598232361
2022-07-25,-0.8728226744993482
2022-07-26,-0.5077542118449151
2022-07-27,-1.3932596975841527
2022-07-28,-1.206040471615881
2022-07-29,-0.9399947509775107
2022-08-01,-1.1402111672589241
2022-08-02,-1.3757878358749114
2022-08-03,-2.0614291800722913
2022-08-04,-2.2990120138914087
2022-08-05,-2.224480958576144
2022-08-08,-1.6725540743040177
2022-08-09,-1.0788526416189896
2022-08-10,-1.3097412512044095
2022-08-11,-0.779002666991296
2022-08-12,-0.7201094366900511
2022-08-15,-0.7257601998762836
2022-08-16,-0.19539795185328274
2022-08-17,-0.2805624865315722
2022-08-18,-0.38015733610567165
2022-08-19,-0.1473185093497191
2022-08-22,-0.060898233778528744
2022-08-23,-0.07264438536807684
2022-08-24,0.19058281556740447
2022-08-25,0.2302518101009883
2022-08-26,0.1161513503771358
2022-08-29,0.6885713729927263
2022-08-30,0.22348012220650865
2022-08-31,0.28185930019459166
2022-09-01,1.8359729927578905
2022-09-02,1.626979525842062
2022-09-06,1.8694559599769238
2022-09-07,2.6230463474190744
2022-09-08,2.7096943486785423
2022-09-09,2.432209246862204
2022-09-12,2.109351505780197
2022-09-13,1.6944180111028044
2022-09-14,1.6744841824065027
2022-09-15,2.2494203017508196
2022-09-16,1.9444361110565531
2022-09-19,2.0184720794214153
