Date,Beta,Alpha
2021-03-16,1.2237837619535066,1.270502882971486
2021-03-17,1.2239325871185873,1.2705403942665487
2021-03-18,1.2243102512899513,1.2706461319268652
2021-03-19,1.2246630975546426,1.2707449245428475
2021-03-22,1.2248699806503498,1.270799552305447
2021-03-23,1.225082016447024,1.270856920362057
2021-03-24,1.225414176637317,1.270951165522974
2021-03-25,1.2257848526621544,1.2710560309111814
2021-03-26,1.226023576144845,1.2711185628956974
2021-03-29,1.2263352298292074,1.2712022663627482
2021-03-30,1.2266844826576688,1.2712979642882174
2021-03-31,1.226868541966043,1.271345724816506
2021-04-01,1.2269062494072691,1.2713548520062812
2021-04-05,1.2268723572324904,1.2713471219236516
2021-04-06,1.226855240330763,1.271343169506723
2021-04-07,1.2268082500852129,1.2713324048755597
2021-04-08,1.226628052712334,1.2712931846595676
2021-04-09,1.2264259239121695,1.2712502539107509
2021-04-12,1.2262755936622995,1.2712176313977408
2021-04-13,1.2260313007620869,1.2711664049514069
2021-04-14,1.225895016496646,1.2711363113227419
2021-04-15,1.2256662246074124,1.271088698252279
2021-04-16,1.2254995241549698,1.2710534592088805
2021-04-19,1.22540518482069,1.2710325786846295
2021-04-20,1.2253648635248306,1.2710232386908178
2021-04-21,1.2252919541792646,1.2710069284920558
2021-04-22,1.225246449697209,1.270996314515272
2021-04-23,1.2251320027803028,1.2709709389330046
2021-04-26,1.2249477729157756,1.2709311057460406
2021-04-27,1.2248097678019212,1.2709006155705942
2021-04-28,1.2247675872883736,1.2708909392862382
2021-04-29,1.2248237630319978,1.2709040466830126
2021-04-30,1.2249844467164488,1.2709437925146745
2021-05-03,1.225205726257737,1.270999455703363
2021-05-04,1.2255953186720479,1.2711049502368597
2021-05-05,1.2260055537566361,1.2712170648350234
2021-05-06,1.2264073140482528,1.2713244350885946
2021-05-07,1.2267529375794288,1.2714136897467765
2021-05-10,1.2272907905629922,1.2715658893754114
2021-05-11,1.2277345821117758,1.2716915273093392
2021-05-12,1.228295215808022,1.2718660514600217
2021-05-13,1.2288190118054592,1.272022410305989
2021-05-14,1.229208343520554,1.2721295561783537
2021-05-17,1.2296463320317352,1.27225307771867
2021-05-18,1.2300614006016066,1.2723724995415828
2021-05-19,1.2303956962683376,1.2724672557548808
2021-05-20,1.230591476918521,1.2725189231531633
2021-05-21,1.230829758976016,1.2725828996909385
2021-05-24,1.2309537918004136,1.27261414012013
2021-05-25,1.2310485772516329,1.2726380247700724
2021-05-26,1.2311342134549763,1.2726594798993072
2021-05-27,1.2312707719588498,1.2726943067511005
2021-05-28,1.2313887307672635,1.2727241218791554
2021-06-01,1.231547045818043,1.2727648831914928
2021-06-02,1.2316488285264957,1.2727905537502573
2021-06-03,1.231835582981507,1.2728396797906913
2021-06-04,1.2318828588001145,1.272851258692946
2021-06-07,1.231903891714592,1.2728563960110826
2021-06-08,1.2319039039708197,1.272856398992328
2021-06-09,1.231894818366171,1.2728541778017273
2021-06-10,1.2318265266364965,1.2728380277913813
2021-06-11,1.2317042137557965,1.2728097057974155
2021-06-14,1.231478768082741,1.2727596212459196
2021-06-15,1.2313260953317662,1.2727244689541113
2021-06-16,1.2311762271129207,1.2726891770720843
2021-06-17,1.2308763531240339,1.2726219900004119
2021-06-18,1.2305545980281203,1.2725469465891908
2021-06-21,1.23027423472752,1.2724836809574875
2021-06-22,1.2299361559844222,1.2724100734537593
2021-06-23,1.2296143415913146,1.272339277916492
2021-06-24,1.2292791642921674,1.2722672545039604
2021-06-25,1.228995789565452,1.2722058201514088
2021-06-28,1.2286166621938455,1.2721269100004962
2021-06-29,1.228170998104837,1.272036358608065
2021-06-30,1.2277918666747643,1.2719573275086886
2021-07-01,1.227478823017808,1.2718915756290838
2021-07-02,1.2271074527028973,1.2718172129154521
2021-07-06,1.2266666337801702,1.2717300881806946
2021-07-07,1.2262371831993486,1.2716458287726926
2021-07-08,1.2258656202017904,1.2715685118218076
2021-07-09,1.2254983446312098,1.2714947744175322
2021-07-12,1.2251831810713831,1.271430790035632
2021-07-13,1.2248208556533606,1.2713572498781602
2021-07-14,1.2244340323192138,1.2712795856165346
2021-07-15,1.2241396516327536,1.2712171831075767
2021-07-16,1.2238934669038786,1.2711623011286943
2021-07-19,1.223657162070389,1.2711063759247951
2021-07-20,1.223377179881998,1.2710444772217737
2021-07-21,1.2230652247863112,1.270978267706749
2021-07-22,1.2227076697040673,1.2709041444972877
2021-07-23,1.2223423949773307,1.2708312998359221
2021-07-26,1.2220151192263182,1.2707654016724546
2021-07-27,1.2217878720376714,1.2707166541878243
2021-07-28,1.2215521309772566,1.270665954223547
2021-07-29,1.2213101062718654,1.2706147324586228
2021-07-30,1.2210451431305094,1.270557833799408
2021-08-02,1.2208008446490435,1.2705043599399841
2021-08-03,1.220577095935404,1.270456338730799
2021-08-04,1.2202868549912962,1.2703943253780274
2021-08-05,1.2199931251649585,1.2703329898241977
2021-08-06,1.2197466584091428,1.2702806835841731
2021-08-09,1.219532559557703,1.2702343442864243
2021-08-10,1.2194274850593507,1.2702106128171409
2021-08-11,1.2193594525243825,1.2701951050911588
2021-08-12,1.2192531696152755,1.2701713659592884
2021-08-13,1.219122146909984,1.2701425595228444
2021-08-16,1.2189992908970664,1.2701156172795451
2021-08-17,1.2189167109036934,1.270096642233529
2021-08-18,1.218883828990292,1.2700885997007934
2021-08-19,1.2187789910147682,1.2700637559121701
2021-08-20,1.2186068324685446,1.2700251470698396
2021-08-23,1.2183600563544987,1.269973155337114
2021-08-24,1.2181232488311653,1.2699232150189763
2021-08-25,1.2179154080441958,1.26987904680811
2021-08-26,1.2177286094663473,1.2698378739197214
2021-08-27,1.2174990778910137,1.2697897599093673
2021-08-30,1.217204580667741,1.2697305916215587
2021-08-31,1.2169845982272924,1.2696845147569065
2021-09-01,1.2167701040900527,1.2696393664008865
2021-09-02,1.2165840944036854,1.2696000532039973
2021-09-03,1.2163445073753687,1.2695502551198665
2021-09-07,1.2160959582828008,1.2694978717195176
2021-09-08,1.2159135805419559,1.2694579810914348
2021-09-09,1.2157340960509897,1.2694178376313023
2021-09-10,1.2156062074624028,1.269387667049397
2021-09-13,1.2155047318519656,1.269363661105526
2021-09-14,1.2153710504242632,1.2693317540420146
2021-09-15,1.215222475563459,1.2692976037499462
2021-09-16,1.2150423950785176,1.2692563742360143
2021-09-17,1.214934723536895,1.2692299879350943
2021-09-20,1.2148935962346237,1.2692189851545095
2021-09-21,1.2148428134017892,1.2692054524269618
2021-09-22,1.214717454014237,1.2691742092131757
2021-09-23,1.2145611228911954,1.2691374852056576
2021-09-24,1.2144282667297612,1.2691061885812829
2021-09-27,1.2143851196968363,1.269095509498134
2021-09-28,1.2145165322535516,1.2691329350697043
2021-09-29,1.214684824744856,1.2691811328838771
2021-09-30,1.2147930643585734,1.2692127241342774
2021-10-01,1.2148517257140423,1.2692288030523413
2021-10-04,1.2150633138229538,1.2692928745765881
2021-10-05,1.2152029088915124,1.2693324860747726
2021-10-06,1.21529886590185,1.2693588259190725
2021-10-07,1.2153466866245877,1.2693713133579418
2021-10-08,1.2154327707706556,1.2693942557156526
2021-10-11,1.215508873619774,1.2694150154073967
2021-10-12,1.215585276851939,1.2694360252147787
2021-10-13,1.2155964265658592,1.2694389716345984
2021-10-14,1.2155204616321893,1.269420841903129
2021-10-15,1.2154389847806917,1.269402009650508
2021-10-18,1.2152795421974127,1.2693667282211796
2021-10-19,1.215093986287561,1.2693273894541581
2021-10-20,1.2149760849808058,1.2693019390255316
2021-10-21,1.214837343092046,1.269272474371435
2021-10-22,1.2147427545108285,1.2692517687950444
2021-10-25,1.2146473863241165,1.2692312812095887
2021-10-26,1.2145512724702723,1.2692106371263638
2021-10-27,1.2144604680809234,1.2691905959326635
2021-10-28,1.2143460825010035,1.2691665610616474
2021-10-29,1.2142010017075182,1.2691366011839382
2021-11-01,1.2140676871159746,1.2691090164379226
2021-11-02,1.2138974080323748,1.2690748279469866
2021-11-03,1.2137223098917322,1.2690405414853103
2021-11-04,1.2134298206575735,1.2689874090075728
2021-11-05,1.2131435330930145,1.2689357373352579
2021-11-08,1.2127937873011705,1.2688745129061694
2021-11-09,1.2124568022204796,1.2688135018399826
2021-11-10,1.2122812516267174,1.268777380813522
2021-11-11,1.2120531399640722,1.2687314844760988
2021-11-12,1.2117641779652466,1.268676808904644
2021-11-15,1.2115056977264573,1.2686268748076475
2021-11-16,1.21117301163511,1.268565888744542
2021-11-17,1.2108817426487943,1.2685102942731172
2021-11-18,1.2105491778780002,1.268448837703811
2021-11-19,1.2101451786794504,1.268375892481728
2021-11-22,1.2099080605477663,1.2683282278542638
2021-11-23,1.2097480136801055,1.2682948672104777
