Date,GDX,GLD,IVV,KBE,QQQ,SPY,VDE,VGT,XLE,XLF
2020-06-29,24259500,6735700,4065200,4559200,34377800,79773300,633000,6948800,38905600,69107100
2020-06-30,35818600,12762300,5475500,1842100,38909200,113394800,575500,5987200,41886800,60653100
2020-07-01,30673800,13214800,4022800,2235600,34689200,72396500,750200,7564800,49146800,60500300
2020-07-02,28388800,8753500,3496500,2243300,31956500,69344200,432200,6564800,41558400,50841900
2020-07-06,23654600,7265700,4464500,4732600,34589000,61713800,1000600,6245600,45084400,60271700
2020-07-07,30150000,11633100,2861700,1850100,36578200,82910000,501400,6304000,41821800,43810900
2020-07-08,34212500,11662700,3686000,2203600,30426300,54638600,483600,4528000,41301800,53046100
2020-07-09,37060300,13327400,3307500,3307100,40312900,83354200,1115500,4821600,61087200,71163700
2020-07-10,21900700,8218000,2754700,2233600,32885300,57550400,628100,4669600,50456000,94440600
2020-07-13,34817400,11095900,5091400,4395900,64108100,102997500,695800,11260000,74447600,102487100
2020-07-14,30430700,9812700,7143600,3154400,72230500,93657000,585800,8337600,68442200,102468300
2020-07-15,21291000,7533800,3892300,3061700,54523900,87196500,576200,6807200,51805000,90561800
2020-07-16,21296600,10242400,2390900,2464200,47594100,54622500,325000,4161600,37645600,74678500
2020-07-17,27743600,10296000,2251300,2853300,35137900,62774900,390300,3877600,35433800,47033200
2020-07-20,28356300,10095500,2354200,1706100,40610100,56308800,817100,5258400,40153000,40127600
2020-07-21,34661400,12826100,3105700,2354800,43243800,57292200,1236000,6194400,72340400,46491300
2020-07-22,39311500,18712500,3177200,1860700,29865500,57792900,1622700,4807200,39243400,44437400
2020-07-23,43686700,23006800,3024200,2914100,51363500,75738000,389100,8460000,42087800,49916100
2020-07-24,34918700,15601300,3421400,1805400,54054500,73766600,434700,10396800,39901200,41245600
2020-07-27,57601200,21115600,3434000,2099200,36445700,48293000,442800,5584800,36462000,43060200
2020-07-28,37241900,21164600,2513100,2061800,31302400,57495000,427900,3546400,35553800,35370500
2020-07-29,39586600,25640100,2339500,2379700,27556900,48454200,370100,3221600,34430000,36491600
2020-07-30,38073500,18061200,3287200,1922300,41774500,61861700,1114700,3513600,65667400,53994600
2020-07-31,29531000,15876700,4683200,2395800,53686300,84986800,728500,6256800,49548200,50115900
2020-08-03,26243100,12897000,2832300,1855000,32081600,53077900,551300,7621600,42206800,42982100
2020-08-04,42405300,20773200,3581600,1422800,24911300,41917900,548700,7245600,45144200,30754400
2020-08-05,37958400,27078100,2433200,2861300,21612100,42697700,870300,4141600,61517400,34860700
2020-08-06,29579900,20640100,3301100,1658700,28048200,43679400,455100,4428000,38381400,33115400
2020-08-07,33217600,24570200,3050200,3207100,44969400,57308300,620800,8192000,36753200,63302800
2020-08-10,28792700,19047200,2222100,3569600,35088400,44282100,618500,5455200,52616200,45436100
2020-08-11,71304400,45355000,3603700,3652600,43104300,69601100,728600,5032800,53026200,73758600
2020-08-12,38295800,28660500,2907300,2733700,38773400,53774400,414000,8547200,51065400,58793600
2020-08-13,36092700,18596800,2643200,2343300,31895700,41816100,399000,6112800,31522000,35222500
2020-08-14,21075500,11792000,1716000,2015700,30799500,47260400,435500,3305600,26559400,28276900
2020-08-17,35736000,15709800,1642600,1411700,24803000,35481000,352100,3268800,28511600,53397000
2020-08-18,28185900,16291600,1634600,2199500,23529500,38733900,360100,3289600,28697600,35502500
2020-08-19,36903300,24646900,1911500,1375200,31999400,68054200,378600,3474400,29587800,59847200
2020-08-20,29589700,16692200,1804700,1834700,27723400,42207800,519800,3662400,38215400,45586100
2020-08-21,23938200,12713700,2063000,1548300,34748900,55106600,547000,5163200,34695600,35349200
2020-08-24,17717400,11605800,2084000,3620500,36418500,48588700,2251900,4545600,49654000,51010900
2020-08-25,20241500,10056100,4004400,1612700,34866600,38463400,474800,4108800,40237000,55236900
2020-08-26,27676900,12715800,3674800,1297300,42216700,50790200,556400,5106400,36002400,30646600
2020-08-27,31690900,16299200,3767600,2356300,49482700,58034100,736800,5460000,44519400,66463900
2020-08-28,26915500,13200800,2520700,2955400,28021000,48588900,450300,5982400,29150200,49170600
